特征名,均值,标准差
年龄,29.93040293040293,4.250710747121923
身高,161.221978021978,5.219064604534521
体重,83.55602564102564,9.500114946252065
末次月经,1683438804.3956044,9215619.682040777
IVF妊娠,0.029304029304029304,0.24053127562240692
检测日期,1695062162.6373627,9619716.089357793
检测抽血次数,2.4450549450549453,1.1209855168937704
孕妇BMI,32.09820570007339,2.9324081071138646
原始读段数,4763026.483669108,984599.6026558531
在参考基因组上比对的比例,0.7967541242173382,0.01630088437511434
重复读段的比例,0.03027471879517704,0.0029278499590777232
唯一比对的读段数,3596169.8427960924,753022.4632879075
GC含量,0.4009731419871795,0.0034060827234584793
13号染色体的Z值,0.3392040645025946,1.2513259177655467
18号染色体的Z值,0.6678432287319902,1.1545003178109459
21号染色体的Z值,-0.12568288640308303,1.0796133397580512
X染色体的Z值,0.4026084116909341,1.2168869267860414
X染色体浓度,-0.007038586586080585,0.018012388249280302
13号染色体的GC含量,0.37912675665338824,0.004493024578441437
18号染色体的GC含量,0.39199027390781443,0.004279015012141354
21号染色体的GC含量,0.4012772771985653,0.0051603707417900895
被过滤掉读段数的比例,0.0236450383046398,0.009825608856558797
怀孕次数,1.8888888888888888,0.804084036835863
生产次数,0.4133089133089133,0.5275430321582449
胎儿是否健康,1.0,0.0
检测孕周_周数,18.259811616954476,4.3692044533056125
